,drugs,match_substructures?
210,CN1C[C@H](C(O)=N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,False
211,CN(C)CCC=C1c2ccccc2CCc2ccccc21,False
212,O=c1nc(O)c(F)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,False
213,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,False
214,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False
215,[C]#N.[C]#N.[C]#N.[C]#N.[C]#N.[Fe-].[N-]=O,False
216,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],False
217,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,False
218,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,False
219,CC[C@@H](CO)NCCN[C@@H](CC)CO,False
220,CN(C)C(=N)NC(=N)N,False
221,CC(C)[N@@+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.[Br-],False
222,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,False
223,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,False
224,CC(C)NCC(O)COc1ccc(CC(=N)O)cc1,False
225,N=C(O)N/N=C/c1ccc([N+](=O)[O-])o1,False
226,CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,False
227,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,False
228,N=C(O)c1cnccn1,False
229,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,False
230,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,False
231,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,False
232,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,False
233,CNCCCC1c2ccccc2C=Cc2ccccc21,False
234,Nc1ccc(C(=O)NCC(=O)O)cc1,False
235,COc1cc2nc(N(C)CCCN=C(O)C3CCCO3)[nH]c(=N)c2cc1OC,False
236,CN1C(=O)OC(C)(C)C1=O,False
237,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],False
238,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,False
239,N=c1[nH]c(N2CCCCC2)cc(N)[n+]1[O-],False
240,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,False
241,N=c1nc(S)c2nc[nH]c2[nH]1,False
242,CC[C@@H](CO)N=C(O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,False
243,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,False
244,C[C@H]1[C@H](N=C(O)/C(=N\OC(C)(C)C(=O)O)c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)O,False
245,Oc1nc2cc(Cl)ccc2o1,False
246,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O,False
247,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,False
248,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,False
